"period","zone","group","measure","value"
"2008-2010","S01002132","Former Smoker","Ratio","4.17"
"2006-2008","S01002132","Not Known If Smoking","Ratio","5.56"
"2010-2012","S01002132","Former Smoker","Ratio",40
"2011-2013","S01002132","Former Smoker","Ratio","33.33"
"2006-2008","S01002132","Former Smoker","Ratio","5.56"
"2001-2003","S01002132","Former Smoker","Ratio","4.55"
"2007-2009","S01002132","Current Smoker","Ratio","7.69"
"2009-2011","S01002132","Former Smoker","Ratio","9.09"
"2010-2012","S01002132","Current Smoker","Ratio",0
"2002-2004","S01002132","Never Smoked","Ratio",64
"2007-2009","S01002132","Never Smoked","Ratio","73.08"
"2007-2009","S01002132","Not Known If Smoking","Ratio","15.38"
"2008-2010","S01002132","Not Known If Smoking","Ratio",25
"2011-2013","S01002132","Current Smoker","Ratio",0
"2008-2010","S01002132","Never Smoked","Ratio","66.67"
"2009-2011","S01002132","Never Smoked","Ratio","63.64"
"2000-2002","S01002132","Never Smoked","Ratio","47.62"
"2008-2010","S01002132","Current Smoker","Ratio","4.17"
"2003-2005","S01002132","Never Smoked","Ratio","83.33"
"2009-2011","S01002132","Not Known If Smoking","Ratio","22.73"
"2010-2012","S01002132","Not Known If Smoking","Ratio","13.33"
"2004-2006","S01002132","Never Smoked","Ratio","95.45"
"2000-2002","S01002132","Current Smoker","Ratio","9.52"
"2002-2004","S01002132","Current Smoker","Ratio",16
"2001-2003","S01002132","Never Smoked","Ratio","40.91"
"2000-2002","S01002132","Not Known If Smoking","Ratio","42.86"
"2010-2012","S01002132","Never Smoked","Ratio","46.67"
"2005-2007","S01002132","Never Smoked","Ratio","93.75"
"2006-2008","S01002132","Never Smoked","Ratio","83.33"
"2004-2006","S01002132","Current Smoker","Ratio","4.55"
"2011-2013","S01002132","Never Smoked","Ratio","66.67"
"2011-2013","S01002132","Not Known If Smoking","Ratio",0
"2001-2003","S01002133","Former Smoker","Count",0
"2004-2006","S01002133","Former Smoker","Count",1
"2000-2002","S01002133","Former Smoker","Count",1
"2009-2011","S01002133","Former Smoker","Count",2
"2002-2004","S01002133","Former Smoker","Count",1
"2007-2009","S01002133","Former Smoker","Count",1
"2005-2007","S01002133","Former Smoker","Count",0
"2008-2010","S01002133","Former Smoker","Count",2
"2010-2012","S01002133","Former Smoker","Count",6
"2003-2005","S01002133","Former Smoker","Count",1
"2011-2013","S01002133","Former Smoker","Count",10
"2006-2008","S01002133","Former Smoker","Count",1
"2009-2011","S01002133","Never Smoked","Count",20
"2002-2004","S01002133","Never Smoked","Count",14
"2007-2009","S01002133","Never Smoked","Count",22
"2008-2010","S01002133","Never Smoked","Count",17
"2000-2002","S01002133","Never Smoked","Count",10
"2003-2005","S01002133","Never Smoked","Count",24
"2004-2006","S01002133","Never Smoked","Count",30
"2001-2003","S01002133","Never Smoked","Count",8
"2011-2013","S01002133","Never Smoked","Count",32
"2005-2007","S01002133","Never Smoked","Count",29
"2006-2008","S01002133","Never Smoked","Count",27
"2010-2012","S01002133","Never Smoked","Count",26
"2001-2003","S01002133","Not Known If Smoking","Count",18
"2002-2004","S01002133","Not Known If Smoking","Count",11
"2003-2005","S01002133","Not Known If Smoking","Count",4
"2004-2006","S01002133","Not Known If Smoking","Count",1
"2005-2007","S01002133","Not Known If Smoking","Count",1
"2006-2008","S01002133","Not Known If Smoking","Count",3
"2007-2009","S01002133","Not Known If Smoking","Count",9
"2008-2010","S01002133","Not Known If Smoking","Count",16
"2009-2011","S01002133","Not Known If Smoking","Count",15
"2010-2012","S01002133","Not Known If Smoking","Count",8
"2000-2002","S01002133","Not Known If Smoking","Count",18
"2011-2013","S01002133","Not Known If Smoking","Count",1
"2006-2008","S01002133","Current Smoker","Count",0
"2002-2004","S01002133","Current Smoker","Count",0
"2005-2007","S01002133","Current Smoker","Count",0
"2010-2012","S01002133","Current Smoker","Count",2
"2000-2002","S01002133","Current Smoker","Count",1
"2004-2006","S01002133","Current Smoker","Count",0
"2003-2005","S01002133","Current Smoker","Count",0
"2001-2003","S01002133","Current Smoker","Count",0
"2011-2013","S01002133","Current Smoker","Count",1
"2008-2010","S01002133","Current Smoker","Count",1
"2009-2011","S01002133","Current Smoker","Count",2
"2007-2009","S01002133","Current Smoker","Count",0
"2001-2003","S01002133","Not Known If Smoking","Ratio","69.23"
"2000-2002","S01002133","Former Smoker","Ratio","3.33"
"2003-2005","S01002133","Current Smoker","Ratio",0
"2004-2006","S01002133","Former Smoker","Ratio","3.13"
"2002-2004","S01002133","Not Known If Smoking","Ratio","42.31"
"2009-2011","S01002133","Current Smoker","Ratio","5.13"
"2007-2009","S01002133","Former Smoker","Ratio","3.13"
"2006-2008","S01002133","Current Smoker","Ratio",0
"2003-2005","S01002133","Not Known If Smoking","Ratio","13.79"
"2004-2006","S01002133","Not Known If Smoking","Ratio","3.13"
"2005-2007","S01002133","Current Smoker","Ratio",0
"2002-2004","S01002133","Former Smoker","Ratio","3.85"
"2005-2007","S01002133","Not Known If Smoking","Ratio","3.33"
"2005-2007","S01002133","Former Smoker","Ratio",0
"2003-2005","S01002133","Former Smoker","Ratio","3.45"
"2001-2003","S01002133","Current Smoker","Ratio",0
"2008-2010","S01002133","Former Smoker","Ratio","5.56"
"2006-2008","S01002133","Not Known If Smoking","Ratio","9.68"
"2010-2012","S01002133","Former Smoker","Ratio","14.29"
"2011-2013","S01002133","Former Smoker","Ratio","22.73"
"2006-2008","S01002133","Former Smoker","Ratio","3.23"
"2001-2003","S01002133","Former Smoker","Ratio",0
"2007-2009","S01002133","Current Smoker","Ratio",0
"2009-2011","S01002133","Former Smoker","Ratio","5.13"
"2010-2012","S01002133","Current Smoker","Ratio","4.76"
"2002-2004","S01002133","Never Smoked","Ratio","53.85"
"2007-2009","S01002133","Never Smoked","Ratio","68.75"
"2007-2009","S01002133","Not Known If Smoking","Ratio","28.13"
"2008-2010","S01002133","Not Known If Smoking","Ratio","44.44"
"2011-2013","S01002133","Current Smoker","Ratio","2.27"
"2008-2010","S01002133","Never Smoked","Ratio","47.22"
"2009-2011","S01002133","Never Smoked","Ratio","51.28"
"2000-2002","S01002133","Never Smoked","Ratio","33.33"
"2008-2010","S01002133","Current Smoker","Ratio","2.78"
"2003-2005","S01002133","Never Smoked","Ratio","82.76"
"2009-2011","S01002133","Not Known If Smoking","Ratio","38.46"
"2010-2012","S01002133","Not Known If Smoking","Ratio","19.05"
"2004-2006","S01002133","Never Smoked","Ratio","93.75"
"2000-2002","S01002133","Current Smoker","Ratio","3.33"
"2002-2004","S01002133","Current Smoker","Ratio",0
"2001-2003","S01002133","Never Smoked","Ratio","30.77"
"2000-2002","S01002133","Not Known If Smoking","Ratio",60
"2010-2012","S01002133","Never Smoked","Ratio","61.9"
"2005-2007","S01002133","Never Smoked","Ratio","96.67"
"2006-2008","S01002133","Never Smoked","Ratio","87.1"
"2004-2006","S01002133","Current Smoker","Ratio",0
"2011-2013","S01002133","Never Smoked","Ratio","72.73"
"2011-2013","S01002133","Not Known If Smoking","Ratio","2.27"
"2001-2003","S01002134","Former Smoker","Count",1
"2004-2006","S01002134","Former Smoker","Count",1
"2000-2002","S01002134","Former Smoker","Count",0
"2009-2011","S01002134","Former Smoker","Count",1
"2002-2004","S01002134","Former Smoker","Count",1
"2007-2009","S01002134","Former Smoker","Count",1
"2005-2007","S01002134","Former Smoker","Count",2
"2008-2010","S01002134","Former Smoker","Count",0
"2010-2012","S01002134","Former Smoker","Count",1
"2003-2005","S01002134","Former Smoker","Count",2
"2011-2013","S01002134","Former Smoker","Count",3
"2006-2008","S01002134","Former Smoker","Count",1
"2009-2011","S01002134","Never Smoked","Count",5
"2002-2004","S01002134","Never Smoked","Count",6
"2007-2009","S01002134","Never Smoked","Count",12
"2008-2010","S01002134","Never Smoked","Count",6
"2000-2002","S01002134","Never Smoked","Count",4
"2003-2005","S01002134","Never Smoked","Count",11
"2004-2006","S01002134","Never Smoked","Count",14
"2001-2003","S01002134","Never Smoked","Count",5
"2011-2013","S01002134","Never Smoked","Count",6
"2005-2007","S01002134","Never Smoked","Count",19
"2006-2008","S01002134","Never Smoked","Count",15
"2010-2012","S01002134","Never Smoked","Count",6
"2001-2003","S01002134","Not Known If Smoking","Count",5
"2002-2004","S01002134","Not Known If Smoking","Count",3
"2003-2005","S01002134","Not Known If Smoking","Count",1
"2004-2006","S01002134","Not Known If Smoking","Count",0
"2005-2007","S01002134","Not Known If Smoking","Count",0
"2006-2008","S01002134","Not Known If Smoking","Count",0
"2007-2009","S01002134","Not Known If Smoking","Count",1
"2008-2010","S01002134","Not Known If Smoking","Count",3
"2009-2011","S01002134","Not Known If Smoking","Count",4
"2010-2012","S01002134","Not Known If Smoking","Count",3
"2000-2002","S01002134","Not Known If Smoking","Count",5
"2011-2013","S01002134","Not Known If Smoking","Count",1
"2006-2008","S01002134","Current Smoker","Count",0
"2002-2004","S01002134","Current Smoker","Count",0
"2005-2007","S01002134","Current Smoker","Count",0
"2010-2012","S01002134","Current Smoker","Count",0
"2000-2002","S01002134","Current Smoker","Count",1
"2004-2006","S01002134","Current Smoker","Count",0
"2003-2005","S01002134","Current Smoker","Count",0
"2001-2003","S01002134","Current Smoker","Count",0
"2011-2013","S01002134","Current Smoker","Count",0
"2008-2010","S01002134","Current Smoker","Count",0
"2009-2011","S01002134","Current Smoker","Count",0
"2007-2009","S01002134","Current Smoker","Count",0
"2001-2003","S01002134","Not Known If Smoking","Ratio","45.45"
"2000-2002","S01002134","Former Smoker","Ratio",0
"2003-2005","S01002134","Current Smoker","Ratio",0
"2004-2006","S01002134","Former Smoker","Ratio","6.67"
"2002-2004","S01002134","Not Known If Smoking","Ratio",30
"2009-2011","S01002134","Current Smoker","Ratio",0
"2007-2009","S01002134","Former Smoker","Ratio","7.14"
"2006-2008","S01002134","Current Smoker","Ratio",0
"2003-2005","S01002134","Not Known If Smoking","Ratio","7.14"
"2004-2006","S01002134","Not Known If Smoking","Ratio",0
"2005-2007","S01002134","Current Smoker","Ratio",0
"2002-2004","S01002134","Former Smoker","Ratio",10
"2005-2007","S01002134","Not Known If Smoking","Ratio",0
"2005-2007","S01002134","Former Smoker","Ratio","9.52"
"2003-2005","S01002134","Former Smoker","Ratio","14.29"
"2001-2003","S01002134","Current Smoker","Ratio",0
"2008-2010","S01002134","Former Smoker","Ratio",0
"2006-2008","S01002134","Not Known If Smoking","Ratio",0
"2010-2012","S01002134","Former Smoker","Ratio",10
"2011-2013","S01002134","Former Smoker","Ratio",30
"2006-2008","S01002134","Former Smoker","Ratio","6.25"
"2001-2003","S01002134","Former Smoker","Ratio","9.09"
"2007-2009","S01002134","Current Smoker","Ratio",0
"2009-2011","S01002134","Former Smoker","Ratio",10
"2010-2012","S01002134","Current Smoker","Ratio",0
"2002-2004","S01002134","Never Smoked","Ratio",60
"2007-2009","S01002134","Never Smoked","Ratio","85.71"
"2007-2009","S01002134","Not Known If Smoking","Ratio","7.14"
"2008-2010","S01002134","Not Known If Smoking","Ratio","33.33"
"2011-2013","S01002134","Current Smoker","Ratio",0
"2008-2010","S01002134","Never Smoked","Ratio","66.67"
"2009-2011","S01002134","Never Smoked","Ratio",50
"2000-2002","S01002134","Never Smoked","Ratio",40
"2008-2010","S01002134","Current Smoker","Ratio",0
"2003-2005","S01002134","Never Smoked","Ratio","78.57"
"2009-2011","S01002134","Not Known If Smoking","Ratio",40
"2010-2012","S01002134","Not Known If Smoking","Ratio",30
"2004-2006","S01002134","Never Smoked","Ratio","93.33"
"2000-2002","S01002134","Current Smoker","Ratio",10
"2002-2004","S01002134","Current Smoker","Ratio",0
"2001-2003","S01002134","Never Smoked","Ratio","45.45"
"2000-2002","S01002134","Not Known If Smoking","Ratio",50
"2010-2012","S01002134","Never Smoked","Ratio",60
"2005-2007","S01002134","Never Smoked","Ratio","90.48"
"2006-2008","S01002134","Never Smoked","Ratio","93.75"
"2004-2006","S01002134","Current Smoker","Ratio",0
"2011-2013","S01002134","Never Smoked","Ratio",60
"2011-2013","S01002134","Not Known If Smoking","Ratio",10
"2001-2003","S01002135","Former Smoker","Count",1
"2004-2006","S01002135","Former Smoker","Count",0
"2000-2002","S01002135","Former Smoker","Count",0
"2009-2011","S01002135","Former Smoker","Count",1
"2002-2004","S01002135","Former Smoker","Count",1
"2007-2009","S01002135","Former Smoker","Count",0
"2005-2007","S01002135","Former Smoker","Count",0
"2008-2010","S01002135","Former Smoker","Count",0
"2010-2012","S01002135","Former Smoker","Count",1
"2003-2005","S01002135","Former Smoker","Count",1
"2011-2013","S01002135","Former Smoker","Count",2
"2006-2008","S01002135","Former Smoker","Count",0
"2009-2011","S01002135","Never Smoked","Count",16
"2002-2004","S01002135","Never Smoked","Count",11
"2007-2009","S01002135","Never Smoked","Count",24
"2008-2010","S01002135","Never Smoked","Count",16
"2000-2002","S01002135","Never Smoked","Count",15
"2003-2005","S01002135","Never Smoked","Count",14
"2004-2006","S01002135","Never Smoked","Count",20
"2001-2003","S01002135","Never Smoked","Count",8
"2011-2013","S01002135","Never Smoked","Count",11
"2005-2007","S01002135","Never Smoked","Count",22
"2006-2008","S01002135","Never Smoked","Count",21
"2010-2012","S01002135","Never Smoked","Count",8
"2001-2003","S01002135","Not Known If Smoking","Count",10
"2002-2004","S01002135","Not Known If Smoking","Count",7
"2003-2005","S01002135","Not Known If Smoking","Count",3
"2004-2006","S01002135","Not Known If Smoking","Count",1
"2005-2007","S01002135","Not Known If Smoking","Count",0
"2006-2008","S01002135","Not Known If Smoking","Count",2
"2007-2009","S01002135","Not Known If Smoking","Count",2
"2008-2010","S01002135","Not Known If Smoking","Count",3
"2009-2011","S01002135","Not Known If Smoking","Count",1
"2010-2012","S01002135","Not Known If Smoking","Count",1
"2000-2002","S01002135","Not Known If Smoking","Count",11
"2011-2013","S01002135","Not Known If Smoking","Count",0
"2006-2008","S01002135","Current Smoker","Count",0
"2002-2004","S01002135","Current Smoker","Count",1
"2005-2007","S01002135","Current Smoker","Count",0
"2010-2012","S01002135","Current Smoker","Count",0
"2000-2002","S01002135","Current Smoker","Count",0
"2004-2006","S01002135","Current Smoker","Count",0
"2003-2005","S01002135","Current Smoker","Count",1
"2001-2003","S01002135","Current Smoker","Count",1
"2011-2013","S01002135","Current Smoker","Count",0
"2008-2010","S01002135","Current Smoker","Count",0
"2009-2011","S01002135","Current Smoker","Count",0
"2007-2009","S01002135","Current Smoker","Count",0
"2001-2003","S01002135","Not Known If Smoking","Ratio",50
"2000-2002","S01002135","Former Smoker","Ratio",0
"2003-2005","S01002135","Current Smoker","Ratio","5.26"
"2004-2006","S01002135","Former Smoker","Ratio",0
"2002-2004","S01002135","Not Known If Smoking","Ratio",35
"2009-2011","S01002135","Current Smoker","Ratio",0
"2007-2009","S01002135","Former Smoker","Ratio",0
"2006-2008","S01002135","Current Smoker","Ratio",0
"2003-2005","S01002135","Not Known If Smoking","Ratio","15.79"
"2004-2006","S01002135","Not Known If Smoking","Ratio","4.76"
"2005-2007","S01002135","Current Smoker","Ratio",0
"2002-2004","S01002135","Former Smoker","Ratio",5
"2005-2007","S01002135","Not Known If Smoking","Ratio",0
"2005-2007","S01002135","Former Smoker","Ratio",0
"2003-2005","S01002135","Former Smoker","Ratio","5.26"
"2001-2003","S01002135","Current Smoker","Ratio",5
"2008-2010","S01002135","Former Smoker","Ratio",0
"2006-2008","S01002135","Not Known If Smoking","Ratio","8.7"
"2010-2012","S01002135","Former Smoker","Ratio",10
"2011-2013","S01002135","Former Smoker","Ratio","15.38"
"2006-2008","S01002135","Former Smoker","Ratio",0
"2001-2003","S01002135","Former Smoker","Ratio",5
"2007-2009","S01002135","Current Smoker","Ratio",0
"2009-2011","S01002135","Former Smoker","Ratio","5.56"
"2010-2012","S01002135","Current Smoker","Ratio",0
"2002-2004","S01002135","Never Smoked","Ratio",55
"2007-2009","S01002135","Never Smoked","Ratio","92.31"
"2007-2009","S01002135","Not Known If Smoking","Ratio","7.69"
"2008-2010","S01002135","Not Known If Smoking","Ratio","15.79"
"2011-2013","S01002135","Current Smoker","Ratio",0
"2008-2010","S01002135","Never Smoked","Ratio","84.21"
"2009-2011","S01002135","Never Smoked","Ratio","88.89"
"2000-2002","S01002135","Never Smoked","Ratio","57.69"
"2008-2010","S01002135","Current Smoker","Ratio",0
"2003-2005","S01002135","Never Smoked","Ratio","73.68"
"2009-2011","S01002135","Not Known If Smoking","Ratio","5.56"
"2010-2012","S01002135","Not Known If Smoking","Ratio",10
"2004-2006","S01002135","Never Smoked","Ratio","95.24"
"2000-2002","S01002135","Current Smoker","Ratio",0
"2002-2004","S01002135","Current Smoker","Ratio",5
"2001-2003","S01002135","Never Smoked","Ratio",40
"2000-2002","S01002135","Not Known If Smoking","Ratio","42.31"
"2010-2012","S01002135","Never Smoked","Ratio",80
"2005-2007","S01002135","Never Smoked","Ratio",100
"2006-2008","S01002135","Never Smoked","Ratio","91.3"
"2004-2006","S01002135","Current Smoker","Ratio",0
"2011-2013","S01002135","Never Smoked","Ratio","84.62"
"2011-2013","S01002135","Not Known If Smoking","Ratio",0
"2001-2003","S01002136","Former Smoker","Count",0
"2004-2006","S01002136","Former Smoker","Count",0
"2000-2002","S01002136","Former Smoker","Count",1
"2009-2011","S01002136","Former Smoker","Count",6
"2002-2004","S01002136","Former Smoker","Count",0
"2007-2009","S01002136","Former Smoker","Count",0
"2005-2007","S01002136","Former Smoker","Count",0
"2008-2010","S01002136","Former Smoker","Count",1
"2010-2012","S01002136","Former Smoker","Count",8
"2003-2005","S01002136","Former Smoker","Count",0
"2011-2013","S01002136","Former Smoker","Count",8
"2006-2008","S01002136","Former Smoker","Count",0
"2009-2011","S01002136","Never Smoked","Count",13
"2002-2004","S01002136","Never Smoked","Count",10
"2007-2009","S01002136","Never Smoked","Count",16
"2008-2010","S01002136","Never Smoked","Count",15
"2000-2002","S01002136","Never Smoked","Count",6
"2003-2005","S01002136","Never Smoked","Count",12
"2004-2006","S01002136","Never Smoked","Count",18
"2001-2003","S01002136","Never Smoked","Count",6
"2011-2013","S01002136","Never Smoked","Count",14
"2005-2007","S01002136","Never Smoked","Count",19
"2006-2008","S01002136","Never Smoked","Count",22
"2010-2012","S01002136","Never Smoked","Count",15
"2001-2003","S01002136","Not Known If Smoking","Count",7
"2002-2004","S01002136","Not Known If Smoking","Count",4
"2003-2005","S01002136","Not Known If Smoking","Count",1
"2004-2006","S01002136","Not Known If Smoking","Count",0
"2005-2007","S01002136","Not Known If Smoking","Count",0
"2006-2008","S01002136","Not Known If Smoking","Count",1
"2007-2009","S01002136","Not Known If Smoking","Count",1
"2008-2010","S01002136","Not Known If Smoking","Count",7
"2009-2011","S01002136","Not Known If Smoking","Count",6
"2010-2012","S01002136","Not Known If Smoking","Count",6
"2000-2002","S01002136","Not Known If Smoking","Count",7
"2011-2013","S01002136","Not Known If Smoking","Count",0
"2006-2008","S01002136","Current Smoker","Count",1
"2002-2004","S01002136","Current Smoker","Count",0
"2005-2007","S01002136","Current Smoker","Count",2
"2010-2012","S01002136","Current Smoker","Count",2
"2000-2002","S01002136","Current Smoker","Count",0
"2004-2006","S01002136","Current Smoker","Count",2
"2003-2005","S01002136","Current Smoker","Count",1
"2001-2003","S01002136","Current Smoker","Count",0
"2011-2013","S01002136","Current Smoker","Count",2
"2008-2010","S01002136","Current Smoker","Count",0
"2009-2011","S01002136","Current Smoker","Count",0
"2007-2009","S01002136","Current Smoker","Count",0
"2001-2003","S01002136","Not Known If Smoking","Ratio","53.85"
"2000-2002","S01002136","Former Smoker","Ratio","7.14"
"2003-2005","S01002136","Current Smoker","Ratio","7.14"
"2004-2006","S01002136","Former Smoker","Ratio",0
"2002-2004","S01002136","Not Known If Smoking","Ratio","28.57"
"2009-2011","S01002136","Current Smoker","Ratio",0
"2007-2009","S01002136","Former Smoker","Ratio",0
"2006-2008","S01002136","Current Smoker","Ratio","4.17"
"2003-2005","S01002136","Not Known If Smoking","Ratio","7.14"
"2004-2006","S01002136","Not Known If Smoking","Ratio",0
"2005-2007","S01002136","Current Smoker","Ratio","9.52"
"2002-2004","S01002136","Former Smoker","Ratio",0
"2005-2007","S01002136","Not Known If Smoking","Ratio",0
"2005-2007","S01002136","Former Smoker","Ratio",0
"2003-2005","S01002136","Former Smoker","Ratio",0
"2001-2003","S01002136","Current Smoker","Ratio",0
"2008-2010","S01002136","Former Smoker","Ratio","4.35"
"2006-2008","S01002136","Not Known If Smoking","Ratio","4.17"
"2010-2012","S01002136","Former Smoker","Ratio","25.81"
"2011-2013","S01002136","Former Smoker","Ratio","33.33"
"2006-2008","S01002136","Former Smoker","Ratio",0
"2001-2003","S01002136","Former Smoker","Ratio",0
"2007-2009","S01002136","Current Smoker","Ratio",0
"2009-2011","S01002136","Former Smoker","Ratio",24
"2010-2012","S01002136","Current Smoker","Ratio","6.45"
"2002-2004","S01002136","Never Smoked","Ratio","71.43"
"2007-2009","S01002136","Never Smoked","Ratio","94.12"
"2007-2009","S01002136","Not Known If Smoking","Ratio","5.88"
"2008-2010","S01002136","Not Known If Smoking","Ratio","30.43"
"2011-2013","S01002136","Current Smoker","Ratio","8.33"
"2008-2010","S01002136","Never Smoked","Ratio","65.22"
"2009-2011","S01002136","Never Smoked","Ratio",52
"2000-2002","S01002136","Never Smoked","Ratio","42.86"
"2008-2010","S01002136","Current Smoker","Ratio",0
"2003-2005","S01002136","Never Smoked","Ratio","85.71"
"2009-2011","S01002136","Not Known If Smoking","Ratio",24
"2010-2012","S01002136","Not Known If Smoking","Ratio","19.35"
"2004-2006","S01002136","Never Smoked","Ratio",90
"2000-2002","S01002136","Current Smoker","Ratio",0
"2002-2004","S01002136","Current Smoker","Ratio",0
"2001-2003","S01002136","Never Smoked","Ratio","46.15"
"2000-2002","S01002136","Not Known If Smoking","Ratio",50
"2010-2012","S01002136","Never Smoked","Ratio","48.39"
"2005-2007","S01002136","Never Smoked","Ratio","90.48"
"2006-2008","S01002136","Never Smoked","Ratio","91.67"
"2004-2006","S01002136","Current Smoker","Ratio",10
"2011-2013","S01002136","Never Smoked","Ratio","58.33"
"2011-2013","S01002136","Not Known If Smoking","Ratio",0
"2001-2003","S01002137","Former Smoker","Count",0
"2004-2006","S01002137","Former Smoker","Count",0
"2000-2002","S01002137","Former Smoker","Count",0
"2009-2011","S01002137","Former Smoker","Count",5
"2002-2004","S01002137","Former Smoker","Count",0
"2007-2009","S01002137","Former Smoker","Count",3
"2005-2007","S01002137","Former Smoker","Count",2
"2008-2010","S01002137","Former Smoker","Count",4
"2010-2012","S01002137","Former Smoker","Count",5
"2003-2005","S01002137","Former Smoker","Count",0
"2011-2013","S01002137","Former Smoker","Count",4
"2006-2008","S01002137","Former Smoker","Count",3
"2009-2011","S01002137","Never Smoked","Count",8
"2002-2004","S01002137","Never Smoked","Count",12
"2007-2009","S01002137","Never Smoked","Count",17
"2008-2010","S01002137","Never Smoked","Count",12
"2000-2002","S01002137","Never Smoked","Count",6
"2003-2005","S01002137","Never Smoked","Count",13
"2004-2006","S01002137","Never Smoked","Count",18
"2001-2003","S01002137","Never Smoked","Count",4
"2011-2013","S01002137","Never Smoked","Count",10
"2005-2007","S01002137","Never Smoked","Count",16
"2006-2008","S01002137","Never Smoked","Count",19
"2010-2012","S01002137","Never Smoked","Count",5
"2001-2003","S01002137","Not Known If Smoking","Count",17
"2002-2004","S01002137","Not Known If Smoking","Count",9
"2003-2005","S01002137","Not Known If Smoking","Count",3
"2004-2006","S01002137","Not Known If Smoking","Count",0
"2005-2007","S01002137","Not Known If Smoking","Count",0
"2006-2008","S01002137","Not Known If Smoking","Count",1
"2007-2009","S01002137","Not Known If Smoking","Count",4
"2008-2010","S01002137","Not Known If Smoking","Count",6
"2009-2011","S01002137","Not Known If Smoking","Count",5
"2010-2012","S01002137","Not Known If Smoking","Count",2
"2000-2002","S01002137","Not Known If Smoking","Count",16
"2011-2013","S01002137","Not Known If Smoking","Count",0
"2006-2008","S01002137","Current Smoker","Count",3
"2002-2004","S01002137","Current Smoker","Count",3
"2005-2007","S01002137","Current Smoker","Count",2
"2010-2012","S01002137","Current Smoker","Count",2
"2000-2002","S01002137","Current Smoker","Count",0
"2004-2006","S01002137","Current Smoker","Count",4
"2003-2005","S01002137","Current Smoker","Count",3
"2001-2003","S01002137","Current Smoker","Count",1
"2011-2013","S01002137","Current Smoker","Count",4
"2008-2010","S01002137","Current Smoker","Count",1
"2009-2011","S01002137","Current Smoker","Count",2
"2007-2009","S01002137","Current Smoker","Count",1
"2001-2003","S01002137","Not Known If Smoking","Ratio","77.27"
"2000-2002","S01002137","Former Smoker","Ratio",0
"2003-2005","S01002137","Current Smoker","Ratio","15.79"
"2004-2006","S01002137","Former Smoker","Ratio",0
"2002-2004","S01002137","Not Known If Smoking","Ratio","37.5"
"2009-2011","S01002137","Current Smoker","Ratio",10
"2007-2009","S01002137","Former Smoker","Ratio",12
"2006-2008","S01002137","Current Smoker","Ratio","11.54"
"2003-2005","S01002137","Not Known If Smoking","Ratio","15.79"
"2004-2006","S01002137","Not Known If Smoking","Ratio",0
"2005-2007","S01002137","Current Smoker","Ratio",10
"2002-2004","S01002137","Former Smoker","Ratio",0
"2005-2007","S01002137","Not Known If Smoking","Ratio",0
"2005-2007","S01002137","Former Smoker","Ratio",10
"2003-2005","S01002137","Former Smoker","Ratio",0
"2001-2003","S01002137","Current Smoker","Ratio","4.55"
"2008-2010","S01002137","Former Smoker","Ratio","17.39"
"2006-2008","S01002137","Not Known If Smoking","Ratio","3.85"
"2010-2012","S01002137","Former Smoker","Ratio","35.71"
"2011-2013","S01002137","Former Smoker","Ratio","22.22"
"2006-2008","S01002137","Former Smoker","Ratio","11.54"
"2001-2003","S01002137","Former Smoker","Ratio",0
"2007-2009","S01002137","Current Smoker","Ratio",4
"2009-2011","S01002137","Former Smoker","Ratio",25
"2010-2012","S01002137","Current Smoker","Ratio","14.29"
"2002-2004","S01002137","Never Smoked","Ratio",50
"2007-2009","S01002137","Never Smoked","Ratio",68
"2007-2009","S01002137","Not Known If Smoking","Ratio",16
"2008-2010","S01002137","Not Known If Smoking","Ratio","26.09"
"2011-2013","S01002137","Current Smoker","Ratio","22.22"
"2008-2010","S01002137","Never Smoked","Ratio","52.17"
"2009-2011","S01002137","Never Smoked","Ratio",40
"2000-2002","S01002137","Never Smoked","Ratio","27.27"
"2008-2010","S01002137","Current Smoker","Ratio","4.35"
"2003-2005","S01002137","Never Smoked","Ratio","68.42"
"2009-2011","S01002137","Not Known If Smoking","Ratio",25
"2010-2012","S01002137","Not Known If Smoking","Ratio","14.29"
"2004-2006","S01002137","Never Smoked","Ratio","81.82"
"2000-2002","S01002137","Current Smoker","Ratio",0
"2002-2004","S01002137","Current Smoker","Ratio","12.5"
"2001-2003","S01002137","Never Smoked","Ratio","18.18"
"2000-2002","S01002137","Not Known If Smoking","Ratio","72.73"
"2010-2012","S01002137","Never Smoked","Ratio","35.71"
"2005-2007","S01002137","Never Smoked","Ratio",80
"2006-2008","S01002137","Never Smoked","Ratio","73.08"
"2004-2006","S01002137","Current Smoker","Ratio","18.18"
"2011-2013","S01002137","Never Smoked","Ratio","55.56"
"2011-2013","S01002137","Not Known If Smoking","Ratio",0
"2001-2003","S01002138","Former Smoker","Count",0
"2004-2006","S01002138","Former Smoker","Count",1
"2000-2002","S01002138","Former Smoker","Count",0
"2009-2011","S01002138","Former Smoker","Count",7
"2002-2004","S01002138","Former Smoker","Count",0
"2007-2009","S01002138","Former Smoker","Count",3
"2005-2007","S01002138","Former Smoker","Count",3
"2008-2010","S01002138","Former Smoker","Count",4
"2010-2012","S01002138","Former Smoker","Count",6
"2003-2005","S01002138","Former Smoker","Count",0
"2011-2013","S01002138","Former Smoker","Count",6
"2006-2008","S01002138","Former Smoker","Count",3
"2009-2011","S01002138","Never Smoked","Count",16
